,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
0,cassava,0,0,-50,50.0,120931.22,1272.7,153909435.94,5046933.05
1,groundnuts,0,0,0,0.0,280429.75,585.71,164251345.72,9055931.84
2,maize,0,0,0,0.0,91315.33,1154.83,105453438.67,8386252.06
3,sesame,0,0,0,0.0,594088.15,337.02,200222523.03,19077540.6
4,sorghum,0,0,0,0.0,437189.56,1618.99,707806259.53,32787890.46
5,cassava,0,0,0,0.0,77754.58,1654.29,128628611.78,2586901.1
6,groundnuts,0,0,-50,50.0,370779.44,507.12,188028258.65,14930186.51
7,maize,0,0,0,0.0,86707.19,1188.15,103021197.4,7558109.74
8,sesame,0,0,0,0.0,566413.22,348.29,197277708.92,18284214.73
9,sorghum,0,0,0,0.0,422299.56,1659.86,700960126.76,30995135.91
10,cassava,0,0,0,0.0,88860.2,1438.23,127800981.4,2482757.16
11,groundnuts,0,0,0,0.0,293348.96,552.53,162083887.29,8530892.93
12,maize,0,0,-50,50.0,127274.2,970.47,123515187.88,19101432.18
13,sesame,0,0,0,0.0,601169.81,324.55,195110909.98,17159715.26
14,sorghum,0,0,0,0.0,413300.83,1666.45,688744199.92,27079750.48
15,cassava,0,0,0,0.0,64786.07,1903.28,123306117.44,2233825.58
16,groundnuts,0,0,0,0.0,233695.44,671.71,156975117.93,7778997.89
17,maize,0,0,0,0.0,68309.69,1348.61,92123277.0,4626747.31
18,sesame,0,0,-50,50.0,798403.65,301.72,240895289.26,36678676.88
19,sorghum,0,0,0,0.0,358759.15,1858.82,666867219.97,23036300.34
20,cassava,0,0,0,0.0,90314.98,1327.05,119852133.0,1929968.43
21,groundnuts,0,0,0,0.0,282792.47,540.58,152871365.35,6821036.21
22,maize,0,0,0,0.0,59637.79,1402.03,83613929.49,2869636.42
23,sesame,0,0,0,0.0,525548.28,333.67,175357427.32,11893251.54
24,sorghum,0,0,-50,50.0,565660.48,1346.84,761854321.11,50840655.4
25,cassava,0,0,-40,40.0,111079.81,1332.21,147981927.09,4350115.45
26,groundnuts,0,0,0,0.0,282121.86,582.95,164462749.57,9093874.66
27,maize,0,0,0,0.0,92179.38,1148.98,105912493.63,8555654.92
28,sesame,0,0,0,0.0,598733.53,335.27,200738399.51,19222157.13
29,sorghum,0,0,0,0.0,439839.42,1612.08,709056669.73,33132745.84
30,cassava,0,0,0,0.0,79266.02,1628.59,129092117.92,2618213.62
31,groundnuts,0,0,-40,40.0,350153.81,521.59,182635839.93,13391004.31
32,maize,0,0,0,0.0,88678.6,1173.82,104092731.35,7920294.48
33,sesame,0,0,0,0.0,577271.39,343.92,198533001.87,18629148.79
34,sorghum,0,0,0,0.0,428584.18,1642.6,703992990.3,31795886.8
35,cassava,0,0,0,0.0,87414.68,1469.69,128472157.77,2539176.17
36,groundnuts,0,0,0,0.0,291274.78,559.1,162850362.57,8700709.63
37,maize,0,0,-40,40.0,120805.55,997.94,120556479.6,16691148.53
38,sesame,0,0,0,0.0,603134.07,326.45,196892872.3,17760936.97
39,sorghum,0,0,0,0.0,421324.92,1648.58,694588913.35,28662576.69
40,cassava,0,0,0,0.0,68182.86,1835.29,125135431.66,2354798.58
41,groundnuts,0,0,0,0.0,243698.92,652.72,159067580.6,8147563.58
42,maize,0,0,0,0.0,73868.88,1294.88,95651342.37,5449614.04
43,sesame,0,0,-40,40.0,759510.66,307.58,233607049.8,32826052.02
44,sorghum,0,0,0,0.0,378692.68,1791.81,678544154.91,25576519.78
45,cassava,0,0,0,0.0,88290.02,1381.55,121977477.25,2069805.57
46,groundnuts,0,0,0,0.0,283277.85,548.52,155382232.34,7264234.11
47,maize,0,0,0,0.0,64244.65,1355.56,87087651.94,3410328.59
48,sesame,0,0,0,0.0,540761.0,333.69,180444707.3,13131935.74
49,sorghum,0,0,-40,40.0,547380.47,1380.13,755456044.47,48478244.0
50,cassava,0,0,-30,30.0,102817.38,1388.72,142784625.7,3801472.81
51,groundnuts,0,0,0,0.0,283592.95,580.52,164632750.26,9123928.31
52,maize,0,0,0,0.0,92873.01,1144.3,106274417.5,8689793.41
53,sesame,0,0,0,0.0,602683.53,333.76,201154384.95,19337184.62
54,sorghum,0,0,0,0.0,441987.14,1606.47,710039435.0,33402168.85
55,cassava,0,0,0,0.0,80688.17,1604.76,129485376.87,2644507.43
56,groundnuts,0,0,-30,30.0,331752.91,535.56,177672731.92,12084435.18
57,maize,0,0,0,0.0,90385.94,1161.67,104998936.34,8235691.8
58,sesame,0,0,0,0.0,587111.91,339.98,199603520.6,18921289.15
59,sorghum,0,0,0,0.0,434015.07,1627.87,706522198.46,32468624.44
60,cassava,0,0,0,0.0,86264.21,1496.27,129074797.6,2590581.91
61,groundnuts,0,0,0,0.0,289583.27,564.72,163533627.36,8854300.77
62,maize,0,0,-30,30.0,114016.86,1028.86,117307041.23,14382949.48
63,sesame,0,0,0,0.0,605195.75,328.0,198506775.2,18319492.87
64,sorghum,0,0,0,0.0,428893.91,1632.08,699990139.52,30207222.97
65,cassava,0,0,0,0.0,71929.78,1762.39,126768021.94,2463956.52
66,groundnuts,0,0,0,0.0,254325.26,632.76,160926211.48,8476894.71
67,maize,0,0,0,0.0,79509.61,1245.49,99028106.8,6350281.25
68,sesame,0,0,-30,30.0,720051.87,313.48,225719368.23,29004162.71
69,sorghum,0,0,0,0.0,398137.48,1730.87,689126092.11,28059252.8
70,cassava,0,0,0,0.0,86638.94,1433.11,124162866.63,2222085.07
71,groundnuts,0,0,0,0.0,283772.26,556.54,157931034.51,7738883.34
72,maize,0,0,0,0.0,69788.48,1305.43,91103938.76,4153459.67
73,sesame,0,0,0,0.0,557058.99,333.57,185815655.71,14550792.76
74,sorghum,0,0,-30,30.0,526695.33,1419.69,747744683.33,45689327.17
75,cassava,0,0,-20,20.0,95787.11,1442.6,138182731.31,3360912.55
76,groundnuts,0,0,0,0.0,284882.36,578.39,164772304.47,9148255.91
77,maize,0,0,0,0.0,93440.08,1140.47,106565536.57,8797800.54
78,sesame,0,0,0,0.0,606083.97,332.46,201496591.58,19430592.39
79,sorghum,0,0,0,0.0,443760.48,1601.83,710828704.56,33616986.61
80,cassava,0,0,0,0.0,82023.57,1582.75,129822596.05,2666817.77
81,groundnuts,0,0,-20,20.0,315271.14,549.06,173102451.63,10969584.5
82,maize,0,0,0,0.0,91870.5,1151.3,105770169.58,8510268.63
83,sesame,0,0,0,0.0,596051.4,336.42,200524913.61,19170816.51
84,sorghum,0,0,0,0.0,438737.39,1615.21,708651063.98,33037060.59
85,cassava,0,0,0,0.0,85410.11,1517.31,129593679.96,2635283.4
86,groundnuts,0,0,0,0.0,288329.77,569.2,164118355.6,8987006.78
87,maize,0,0,-20,20.0,107154.76,1062.66,113869022.2,12283276.66
88,sesame,0,0,0,0.0,607341.45,329.15,199907828.84,18813813.16
89,sorghum,0,0,0,0.0,435717.9,1617.44,704749154.57,31635168.0
90,cassava,0,0,0,0.0,75955.13,1687.53,128176282.71,2558092.68
91,groundnuts,0,0,0,0.0,265292.65,612.61,162521996.89,8758421.61
92,maize,0,0,0,0.0,84926.02,1202.1,102089788.16,7269862.63
93,sesame,0,0,-20,20.0,681576.08,319.27,217607258.01,25441473.38
94,sorghum,0,0,0,0.0,416204.12,1677.64,698242655.88,30326697.7
95,cassava,0,0,0,0.0,85385.57,1479.89,126360910.29,2384224.84
96,groundnuts,0,0,0,0.0,284387.79,564.23,160460626.61,8235445.36
97,maize,0,0,0,0.0,76542.87,1251.22,95771975.46,5210780.71
98,sesame,0,0,0,0.0,574463.65,333.15,191379968.2,16148006.75
99,sorghum,0,0,-20,20.0,503174.11,1467.27,738292939.22,42376090.33
100,cassava,0,0,-10,10.0,89729.64,1494.17,134071733.76,3000992.64
101,groundnuts,0,0,0,0.0,286021.42,576.49,164888880.87,9168315.86
102,maize,0,0,0,0.0,93911.16,1137.29,106803826.32,8886095.23
103,sesame,0,0,0,0.0,609043.44,331.31,201782927.52,19507803.59
104,sorghum,0,0,0,0.0,445248.34,1597.93,711474436.7,33791340.69
105,cassava,0,0,0,0.0,83276.72,1562.44,130114699.19,2685942.71
106,groundnuts,0,0,-10,10.0,300441.19,562.13,168886447.57,10012390.26
107,maize,0,0,0,0.0,93167.89,1142.36,106431188.34,8749747.84
108,sesame,0,0,0,0.0,604197.05,333.21,201325127.95,19385806.52
109,sorghum,0,0,0,0.0,442871.15,1604.21,710459998.02,33520660.68
110,cassava,0,0,0,0.0,84823.74,1532.87,130023489.28,2672489.14
111,groundnuts,0,0,0,0.0,287503.4,572.52,164600382.77,9096876.93
112,maize,0,0,-10,10.0,100507.32,1098.3,110387489.38,10467924.76
113,sesame,0,0,0,0.0,609515.41,329.9,201077036.87,19231509.87
114,sorghum,0,0,0,0.0,441604.13,1604.95,708754168.64,32885747.3
115,cassava,0,0,0,0.0,80160.68,1613.85,129367516.54,2637010.72
116,groundnuts,0,0,0,0.0,276283.73,593.1,163864773.99,8992495.51
117,maize,0,0,0,0.0,89892.86,1165.28,104750019.1,8151844.46
118,sesame,0,0,-10,10.0,645245.63,324.88,209628077.53,22283166.08
119,sorghum,0,0,0,0.0,432371.1,1632.44,705821467.2,32290031.23
120,cassava,0,0,0,0.0,84608.24,1518.53,128480194.07,2549090.08
121,groundnuts,0,0,0,0.0,285347.39,570.77,162867347.97,8731387.34
122,maize,0,0,0,0.0,84752.47,1193.35,101139593.14,6751999.5
123,sesame,0,0,0,0.0,592820.84,332.18,196920357.85,17871380.61
124,sorghum,0,0,-10,10.0,476425.06,1525.0,726546469.3,38450690.46
125,cassava,0,0,0,0.0,84453.0,1543.7,130370096.1,2702496.0
126,groundnuts,0,0,0,0.0,287035.0,574.8,164987718.0,9185120.0
127,maize,0,0,0,0.0,94308.0,1134.6,107001856.8,8959260.0
128,sesame,0,0,0,0.0,611644.0,330.3,202026013.2,19572608.0
129,sorghum,0,0,0,0.0,446514.0,1594.6,712011224.4,33935064.0
130,cassava,0,0,0,0.0,84453.0,1543.7,130370096.1,2702496.0
131,groundnuts,0,0,0,0.0,287035.0,574.8,164987718.0,9185120.0
132,maize,0,0,0,0.0,94308.0,1134.6,107001856.8,8959260.0
133,sesame,0,0,0,0.0,611644.0,330.3,202026013.2,19572608.0
134,sorghum,0,0,0,0.0,446514.0,1594.6,712011224.4,33935064.0
135,cassava,0,0,0,0.0,84453.0,1543.7,130370096.1,2702496.0
136,groundnuts,0,0,0,0.0,287035.0,574.8,164987718.0,9185120.0
137,maize,0,0,0,0.0,94308.0,1134.6,107001856.8,8959260.0
138,sesame,0,0,0,0.0,611644.0,330.3,202026013.2,19572608.0
139,sorghum,0,0,0,0.0,446514.0,1594.6,712011224.4,33935064.0
140,cassava,0,0,0,0.0,84453.0,1543.7,130370096.1,2702496.0
141,groundnuts,0,0,0,0.0,287035.0,574.8,164987718.0,9185120.0
142,maize,0,0,0,0.0,94308.0,1134.6,107001856.8,8959260.0
143,sesame,0,0,0,0.0,611644.0,330.3,202026013.2,19572608.0
144,sorghum,0,0,0,0.0,446514.0,1594.6,712011224.4,33935064.0
145,cassava,0,0,0,0.0,84453.0,1543.7,130370096.1,2702496.0
146,groundnuts,0,0,0,0.0,287035.0,574.8,164987718.0,9185120.0
147,maize,0,0,0,0.0,94308.0,1134.6,107001856.8,8959260.0
148,sesame,0,0,0,0.0,611644.0,330.3,202026013.2,19572608.0
149,sorghum,0,0,0,0.0,446514.0,1594.6,712011224.4,33935064.0
150,cassava,0,0,10,-10.0,79812.46,1591.4,127013564.01,2451662.88
151,groundnuts,0,0,0,0.0,287942.94,573.28,165072586.75,9199389.04
152,maize,0,0,0,0.0,94646.42,1132.31,107168621.92,9020623.24
153,sesame,0,0,0,0.0,613948.59,329.4,202234967.66,19627720.37
154,sorghum,0,0,0,0.0,447603.59,1591.73,712463637.46,34055152.48
155,cassava,0,0,0,0.0,85558.06,1526.39,130595303.97,2716951.64
156,groundnuts,0,0,10,-10.0,274860.18,587.11,161372378.56,8465410.91
157,maize,0,0,0,0.0,95315.52,1127.81,107498023.55,9143245.88
158,sesame,0,0,0,0.0,618475.26,327.65,202644714.23,19736210.8
159,sorghum,0,0,0,0.0,449744.97,1586.13,713352974.67,34292728.78
160,cassava,0,0,0,0.0,84239.91,1550.89,130646415.73,2726332.49
161,groundnuts,0,0,0,0.0,286831.88,576.28,165295736.46,9254995.1
162,maize,0,0,10,-10.0,88680.47,1170.58,103807207.19,7733866.46
163,sesame,0,0,0,0.0,613666.15,330.45,202786661.61,19846275.49
164,sorghum,0,0,0,0.0,450535.6,1586.14,714612903.08,34793078.47
165,cassava,0,0,0,0.0,88760.17,1478.34,131217898.2,2756978.11
166,groundnuts,0,0,0,0.0,297371.73,557.99,165930044.46,9343978.5
167,maize,0,0,0,0.0,98166.15,1109.2,108885941.0,9676667.07
168,sesame,0,0,10,-10.0,580894.21,335.56,194922482.53,17284053.3
169,sorghum,0,0,0,0.0,458761.74,1563.01,717048776.64,35292871.02
170,cassava,0,0,0,0.0,88760.17,1478.34,131217898.2,2756978.11
171,groundnuts,0,0,0,0.0,297371.73,557.99,165930044.46,9343978.5
172,maize,0,0,0,0.0,98166.15,1109.2,108885941.0,9676667.07
173,sesame,0,0,0,-10.0,580894.21,335.56,194922482.53,17284053.3
174,sorghum,0,0,10,0.0,458761.74,1563.01,717048776.64,35292871.02
175,cassava,0,0,20,-20.0,75697.04,1637.46,123950928.77,2238434.72
176,groundnuts,0,0,0,0.0,288761.19,571.91,165146265.23,9211648.54
177,maize,0,0,0,0.0,94938.13,1130.32,107310694.79,9072644.21
178,sesame,0,0,0,0.0,616006.24,328.59,202416529.81,19675129.59
179,sorghum,0,0,0,0.0,448551.4,1589.23,712849533.21,34156690.94
180,cassava,0,0,0,0.0,86597.44,1510.38,130795419.91,2729678.48
181,groundnuts,0,0,20,-20.0,263755.1,599.08,158010153.4,7835271.55
182,maize,0,0,0,0.0,96210.76,1121.83,107932337.6,9305478.03
183,sesame,0,0,0,0.0,624762.63,325.24,203194778.22,19880554.07
184,sorghum,0,0,0,0.0,452628.06,1578.61,714522849.56,34603565.86
185,cassava,0,0,0,0.0,84134.57,1555.45,130867011.4,2745245.58
186,groundnuts,0,0,0,0.0,286808.76,577.18,165541223.27,9310305.38
187,maize,0,0,20,-20.0,83648.71,1205.61,100847806.72,6746208.36
188,sesame,0,0,0,0.0,615547.05,330.43,203396633.0,20065125.43
189,sorghum,0,0,0,0.0,453814.9,1579.24,716683696.49,35487663.25
190,cassava,0,0,0,0.0,93033.24,1418.22,131941636.01,2802735.85
191,groundnuts,0,0,0,0.0,307198.38,542.74,166727355.16,9476146.96
192,maize,0,0,0,0.0,101513.63,1088.12,110459424.7,10303526.53
193,sesame,0,0,20,-20.0,552861.24,340.69,188351983.67,15361820.98
194,sorghum,0,0,0,0.0,469347.51,1536.54,721169476.49,36410317.68
195,cassava,0,0,0,0.0,86270.19,1540.77,132922651.43,2913398.01
196,groundnuts,0,0,0,0.0,293595.59,571.6,167819440.35,9797867.02
197,maize,0,0,0,0.0,112924.98,1039.19,117350605.86,14834034.08
198,sesame,0,0,0,0.0,646896.31,323.39,209198036.99,22076134.97
199,sorghum,0,0,20,-20.0,384266.93,1761.28,676803492.43,24733113.92
200,cassava,0,0,30,-30.0,72020.28,1682.04,121140911.96,2055317.84
201,groundnuts,0,0,0,0.0,289502.67,570.67,165210842.75,9222289.95
202,maize,0,0,0,0.0,95191.96,1128.59,107432972.98,9117169.88
203,sesame,0,0,0,0.0,617855.66,327.87,202575780.56,19716322.52
204,sorghum,0,0,0,0.0,449383.43,1587.02,713182161.48,34243447.81
205,cassava,0,0,0,0.0,87576.39,1495.55,130974471.61,2740966.3
206,groundnuts,0,0,30,-30.0,253583.9,610.74,154874337.8,7280200.63
207,maize,0,0,0,0.0,97010.42,1116.53,108314931.67,9449131.07
208,sesame,0,0,0,0.0,630567.99,323.02,203687001.38,20008768.92
209,sorghum,0,0,0,0.0,455215.3,1571.89,715550392.23,34875481.09
210,cassava,0,0,0,0.0,84100.0,1558.2,131044790.67,2760370.38
211,groundnuts,0,0,0,0.0,286900.72,577.69,165738841.93,9354457.76
212,maize,0,0,30,-30.0,79176.61,1239.4,98131216.1,5948018.73
213,sesame,0,0,0,0.0,617275.23,330.31,203890012.42,20241219.71
214,sorghum,0,0,0,0.0,456501.45,1573.58,718341770.45,36050481.43
215,cassava,0,0,0,0.0,97241.12,1363.27,132566221.77,2841628.83
216,groundnuts,0,0,0,0.0,316474.82,528.98,167408666.49,9587360.46
217,maize,0,0,0,0.0,104415.13,1070.52,111778454.54,10846997.77
218,sesame,0,0,30,-30.0,527302.97,345.72,182300506.81,13744960.89
219,sorghum,0,0,0,0.0,478519.96,1514.19,724571499.23,37333600.06
220,cassava,0,0,0,0.0,97241.12,1363.27,132566221.77,2841628.83
221,groundnuts,0,0,0,0.0,316474.82,528.98,167408666.49,9587360.46
222,maize,0,0,0,0.0,104415.13,1070.52,111778454.54,10846997.77
223,sesame,0,0,0,-30.0,527302.97,345.72,182300506.81,13744960.89
224,sorghum,0,0,30,0.0,478519.96,1514.19,724571499.23,37333600.06
225,cassava,0,0,40,-40.0,68713.83,1725.27,118549873.65,1896632.53
226,groundnuts,0,0,0,0.0,290177.94,569.54,165267919.58,9231610.29
227,maize,0,0,0,0.0,95414.71,1127.07,107539169.87,9155608.58
228,sesame,0,0,0,0.0,619527.8,327.21,202716619.9,19752431.0
229,sorghum,0,0,0,0.0,450119.72,1585.07,713471537.02,34318265.6
230,cassava,0,0,0,0.0,88499.78,1481.76,131135675.44,2751044.98
231,groundnuts,0,0,40,-40.0,244232.08,622.12,151941525.4,6788460.76
232,maize,0,0,0,0.0,97728.26,1111.8,108653967.74,9576865.6
233,sesame,0,0,0,0.0,635944.69,320.99,204130066.59,20123364.26
234,sorghum,0,0,0,0.0,457549.2,1565.86,716459019.33,35114812.41
235,cassava,0,0,0,0.0,84110.83,1559.73,131189971.65,2772615.88
236,groundnuts,0,0,0,0.0,287062.96,577.92,165900107.93,9390156.3
237,maize,0,0,40,-40.0,75202.79,1271.83,95644988.8,5297470.65
238,sesame,0,0,0,0.0,618853.98,330.12,204294130.88,20384484.54
239,sorghum,0,0,0,0.0,458723.45,1568.88,719683968.59,36509820.64
240,cassava,0,0,0,0.0,101364.88,1313.19,133110986.61,2875091.2
241,groundnuts,0,0,0,0.0,325195.26,516.6,167996626.4,9682032.86
242,maize,0,0,0,0.0,106936.06,1055.69,112891430.14,11317111.95
243,sesame,0,0,40,-40.0,503952.82,350.69,176731674.82,12378208.14
244,sorghum,0,0,0,0.0,486504.98,1495.18,727410465.86,38102103.84
245,cassava,0,0,0,0.0,89407.64,1500.47,134153413.81,3009722.67
246,groundnuts,0,0,0,0.0,301835.21,560.5,169177150.87,10074135.31
247,maize,0,0,0,0.0,124825.69,987.45,123259266.15,19838934.01
248,sesame,0,0,0,0.0,674487.68,315.44,212761802.6,23279598.44
249,sorghum,0,0,40,-40.0,333397.78,1929.89,643422552.73,18152157.58
250,cassava,0,0,50,-50.0,65722.98,1767.27,116150115.01,1758006.36
251,groundnuts,0,0,0,0.0,290795.72,568.5,165318741.57,9239838.76
252,maize,0,0,0,0.0,95611.63,1125.72,107632145.76,9189049.34
253,sesame,0,0,0,0.0,621047.71,326.61,202842089.48,19784330.7
254,sorghum,0,0,0,0.0,450775.96,1583.33,713725355.84,34383322.84
255,cassava,0,0,0,0.0,89372.07,1468.93,131281626.62,2760098.74
256,groundnuts,0,0,50,-50.0,235602.77,633.23,149191250.74,6350499.58
257,maize,0,0,0,0.0,98375.65,1107.55,108956063.11,9690909.7
258,sesame,0,0,0,0.0,640938.75,319.11,204531021.6,20226367.55
259,sorghum,0,0,0,0.0,459664.76,1560.41,717267460.48,35326672.44
260,cassava,0,0,0,0.0,84150.33,1560.42,131310239.66,2782668.89
261,groundnuts,0,0,0,0.0,287266.11,577.98,166033639.52,9419432.59
262,maize,0,0,50,-50.0,71661.15,1302.91,93368300.55,4761378.85
263,sesame,0,0,0,0.0,620293.94,329.89,204629727.01,20502553.45
264,sorghum,0,0,0,0.0,460582.46,1564.94,720784536.64,36888514.21
265,cassava,0,0,0,0.0,105393.47,1267.54,133590744.03,2904208.58
266,groundnuts,0,0,0,0.0,333373.49,505.47,168508690.91,9763505.89
267,maize,0,0,0,0.0,109135.35,1043.09,113837770.77,11724203.48
268,sesame,0,0,50,-50.0,482557.0,355.61,171601397.71,11215222.25
269,sorghum,0,0,0,0.0,493494.69,1478.85,729805287.99,38747407.8
270,cassava,0,0,0,0.0,90937.29,1479.41,134533273.45,3037596.47
271,groundnuts,0,0,0,0.0,305606.55,554.95,169595266.28,10153660.37
272,maize,0,0,0,0.0,128695.15,971.75,125059028.58,21664951.19
273,sesame,0,0,0,0.0,685486.18,312.0,213868954.34,23632533.07
274,sorghum,0,0,50,-50.0,313228.84,2008.45,629104431.55,15865806.91
